OTU	T1	T2	T4	Genus-species	acc	id%	Trophic	occurrence	readnumber	B-Surf-20	B-Surf-5	B-Surf-0.2	C-Surf-20	C-Surf-5	C-Surf-0.2	M-DCM-5	M-DCM-0.2	A-Surf-20	C-DCM-20	C-DCM-5	C-DCM-0.2	D-15m-20	D-15m-5	D-15m-0.2	D-50m-20	D-50m-5	D-50m-0.2	E-Surf-20	E-Surf-5	E-Surf-0.2	E-DCM-20	E-DCM-5	E-DCM-0.2	G-Surf-20	G-Surf-5	G-Surf-0.2	G-DCM-20	G-DCM-5	G-DCM-0.2	H-Surf-20	A-Surf-0.2	H-Surf-0.2	H-DCM-20	H-DCM-5	H-DCM-0.2	I-Surf-20	I-Surf-5	I-Surf-0.2	I-15m-20	I-15m-5	I-15m-0.2	J-Surf-20	J-Surf-5	J-Surf-0.2	J-DCM-20	J-DCM-5	J-DCM-0.2	K-Surf-20	K-Surf-5	K-Surf-0.2	K-DCM-20	K-DCM-5	K-DCM-0.2	L-Surf-20	L-Surf-5	L-Surf-0.2	L-DCM-20	L-DCM-5	L-DCM-0.2	M-Surf-20	M-Surf-5	M-Surf-0.2	M-DCM-20	O-DCM-20	O-DCM-0.2	O-Bucket-5	P-Surf-20	P-DCM-20	P-DCM-5	P-DCM-0.2	Q-Surf-20	Q-Surf-0.2	Q-DCM-0.2	Q-Bucket-20	Q-Bucket-5	Q-Bucket-0.2	R-Surf-0.2	A-DCM-20	A-DCM-0.2	O-Surf-20	O-Surf-5	O-Surf-0.2	O-DCM-5	O-Bucket-20	O-Bucket-0.2	P-Surf-5	P-Surf-0.2	Q-Surf-5	Q-DCM-20	Q-DCM-5	R-Surf-20	R-Surf-5	R-16m-20	R-16m-5	R-16m-0.2
OTU3523	Sar	Alveolata	Dinophyceae	Dinophyceae-sp.	KY129817	96	Phototroph	24	85	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	1	2	0	0	4	0	0	0	0	0	1	0	0	2	0	0	1	0	29	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	7	0	0	0	4	0
OTU3546	Sar	Stramenopiles	Bacillariophyta	Chaetoceros-neogracilis	EU090012	96	Phototroph	20	93	2	0	0	1	0	0	0	0	7	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	23	0	0	17	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
OTU3549	Sar	Stramenopiles	Bacillariophyta	Chaetoceros-debilis	MG972251	93	Phototroph	10	57	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	3	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0
OTU355	Sar	Stramenopiles	Pelagophyceae	Pelagomonas-calceolata	EF455763	98	Phototroph	42	1075	0	1	70	0	2	23	0	1	0	0	4	58	0	5	64	0	1	130	0	1	76	0	9	59	0	1	10	0	0	32	0	1	2	0	0	3	0	0	30	0	1	31	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	56	2	0	0	3	28	0	3	6	0	0	0	0	0	2	0	10	123	8	0	151	2	60	1	0	2	0	0	0	0	1
OTU3561	Sar	Stramenopiles	Bacillariophyta	Porosira-sp.	MH843681	96	Phototroph	23	89	1	0	0	5	0	0	0	0	0	2	0	0	5	0	0	0	0	0	4	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	4	0	0	3	1	0	0	0	0	9	0	0	2	0	0	1	0	0	0	0	1	0	0	9	0	0	10	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	4	0	14	0	0
OTU3571	Sar	Stramenopiles	Pelagophyceae	Pelagomonas-calceolata	EF455763	92	Phototroph	28	148	0	15	4	0	6	0	0	2	0	0	11	4	0	1	2	0	0	2	0	11	13	0	10	16	0	0	1	0	0	13	0	5	0	0	1	0	0	4	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0
OTU3575	Sar	Stramenopiles	Bacillariophyta	Corethron-inerme	AJ535180	94	Phototroph	23	92	6	0	0	1	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	34	4	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	3	0	0	4	0	0	5	0	0	0	0	2	3	0	0	0	4	0	0	0	0	1	1	1	0	3	0	0
OTU358	Sar	Stramenopiles	Bacillariophyta	Corethron-inerme	AJ535180	93	Phototroph	31	224	23	0	0	16	0	0	0	0	16	29	0	0	27	0	0	4	0	0	9	1	0	14	0	0	2	0	0	5	0	0	3	0	0	9	0	0	1	0	0	3	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	4	1	0	0	7	0	0	10	0	0	0	3	0	2	0	0	0	3	0	0	0	0	12	0	5	0	4	0	0
OTU3587	Sar	Stramenopiles	Bacillariophyta	Corethron-inerme	AJ535180	91	Phototroph	31	93	1	1	0	0	1	0	0	0	1	1	0	0	3	0	0	2	0	0	5	25	2	0	2	0	7	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	5	0	0	3	0	0	0	3	5	2	0	0	0	5	0	0	0	0	5	1	1	0	1	0	0
OTU362	Sar	Stramenopiles	Pelagophyceae	Pelagomonas-calceolata	EF455763	94	Phototroph	43	711	0	20	58	0	10	18	0	2	0	0	18	70	0	6	51	0	19	41	0	20	41	0	15	43	0	5	30	0	0	51	0	10	3	0	2	11	0	3	11	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	5	0	0	5	5	0	4	10	0	0	2	0	0	6	0	6	36	8	0	7	4	16	0	0	5	0	0	0	0	1
